"","name","pvalue","estimate","expression","BH"
"1","GO_MITOCHONDRIAL_GENOME_MAINTENANCE",1,0.796329326050299,"UP",1
"2","GO_MITOCHONDRIAL_GENOME_MAINTENANCE",0.121122164323536,2.76210508453432,"Down",0.568491192015579
"3","GO_REPRODUCTION",8.81864012342432e-05,1.63272473495578,"UP",0.00164026706295692
"4","GO_REPRODUCTION",0.569492267589042,1.08324867964012,"Down",1
"5","GO_SINGLE_STRAND_BREAK_REPAIR",1,0,"UP",1
"6","GO_SINGLE_STRAND_BREAK_REPAIR",1,0,"Down",1
"7","GO_REGULATION_OF_DNA_RECOMBINATION",1,0.95566501613197,"UP",1
"8","GO_REGULATION_OF_DNA_RECOMBINATION",1,0.95566501613197,"Down",1
"9","GO_REGULATION_OF_MITOTIC_RECOMBINATION",1,0,"UP",1
"10","GO_REGULATION_OF_MITOTIC_RECOMBINATION",1,0,"Down",1
"11","GO_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY",1,0,"UP",1
"12","GO_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY",1,0,"Down",1
"13","GO_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY",1,0,"UP",1
"14","GO_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY",1,0,"Down",1
"15","GO_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS",1,0.62846071954955,"UP",1
"16","GO_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS",0.0158631038380619,3.99735872037126,"Down",0.143928649457537
"17","GO_TRANSITION_METAL_ION_TRANSPORT",0.126842583142781,0.321579870478967,"UP",0.582536307766846
"18","GO_TRANSITION_METAL_ION_TRANSPORT",1,0.840612141941137,"Down",1
"19","GO_UREA_CYCLE",1,0,"UP",1
"20","GO_UREA_CYCLE",0.027105885007258,5.98692117344472,"Down",0.21007060880625
"21","GO_CITRULLINE_METABOLIC_PROCESS",0.430375462624135,1.99220462958946,"UP",1
"22","GO_CITRULLINE_METABOLIC_PROCESS",0.0964806575972499,4.78571036067212,"Down",0.505504290509535
"23","GO_RIBOSOMAL_LARGE_SUBUNIT_EXPORT_FROM_NUCLEUS",1,0,"UP",1
"24","GO_RIBOSOMAL_LARGE_SUBUNIT_EXPORT_FROM_NUCLEUS",1,0,"Down",1
"25","GO_RIBOSOMAL_SMALL_SUBUNIT_EXPORT_FROM_NUCLEUS",1,0,"UP",1
"26","GO_RIBOSOMAL_SMALL_SUBUNIT_EXPORT_FROM_NUCLEUS",1,0,"Down",1
"27","GO_MITOTIC_SISTER_CHROMATID_SEGREGATION",0.000151850686355338,0,"UP",0.00268992644400884
"28","GO_MITOTIC_SISTER_CHROMATID_SEGREGATION",0.723978209407869,1.13928499308246,"Down",1
"29","GO_CELL_CYCLE_CHECKPOINT",0.00672214375864432,0.257527444114491,"UP",0.0781449211942402
"30","GO_CELL_CYCLE_CHECKPOINT",0.636584631592281,0.812950459567648,"Down",1
"31","GO_DNA_REPLICATION_CHECKPOINT",1,0,"UP",1
